auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
51.9 (+/- 11.5),48.4 (+/- 12.7),52.9 (+/- 12.7),49.8 (+/- 12.9),53.4 (+/- 12.6),33.7 (+/- 9.2),63.0 (+/- 20.4),29.5 (+/- 11.2),RandomForest,b_g_m_scalar_age_RandomForest
55.0 (+/- 13.1),49.4 (+/- 11.3),50.9 (+/- 11.9),50.2 (+/- 11.7),51.0 (+/- 12.6),32.3 (+/- 10.0),91.0 (+/- 2.7),22.8 (+/- 12.8),SVM,b_g_m_scalar_age_SVM
44.4 (+/- 9.9),54.3 (+/- 11.1),46.8 (+/- 12.1),44.2 (+/- 9.9),47.2 (+/- 12.6),24.0 (+/- 7.1),88.3 (+/- 1.6),13.8 (+/- 7.6),NN,b_g_m_scalar_age_NN
47.1 (+/- 11.4),55.3 (+/- 11.0),44.8 (+/- 10.9),44.6 (+/- 11.2),44.9 (+/- 10.9),23.7 (+/- 7.9),88.3 (+/- 1.6),13.4 (+/- 8.5),LogisticRegression,b_g_m_scalar_age_LogisticRegression
50.4 (+/- 12.0),54.5 (+/- 10.1),47.9 (+/- 9.7),42.5 (+/- 11.5),48.6 (+/- 9.6),22.4 (+/- 4.8),88.1 (+/- 2.7),12.0 (+/- 3.9),LinearRegression,b_g_m_scalar_age_LinearRegression
68.0 (+/- 6.9),35.7 (+/- 4.9),65.5 (+/- 3.8),62.7 (+/- 7.7),66.0 (+/- 3.7),61.8 (+/- 2.7),66.5 (+/- 10.9),61.2 (+/- 3.1),RandomForest,b_g_m_scalar_volume_RandomForest
76.1 (+/- 7.4),28.7 (+/- 6.3),71.1 (+/- 6.4),71.5 (+/- 6.1),71.1 (+/- 6.5),34.1 (+/- 15.7),90.9 (+/- 2.9),25.5 (+/- 17.3),SVM,b_g_m_scalar_volume_SVM
76.3 (+/- 7.5),28.9 (+/- 6.1),70.7 (+/- 6.1),71.5 (+/- 6.1),70.6 (+/- 6.2),37.3 (+/- 13.2),90.6 (+/- 0.9),29.3 (+/- 14.0),NN,b_g_m_scalar_volume_NN
76.3 (+/- 7.5),28.7 (+/- 6.2),71.1 (+/- 6.3),71.5 (+/- 6.1),71.1 (+/- 6.3),37.0 (+/- 14.3),90.6 (+/- 0.9),29.0 (+/- 15.1),LogisticRegression,b_g_m_scalar_volume_LogisticRegression
76.3 (+/- 7.5),28.9 (+/- 6.5),71.3 (+/- 6.5),70.9 (+/- 6.4),71.4 (+/- 6.5),32.0 (+/- 9.3),90.4 (+/- 1.3),23.0 (+/- 8.8),LinearRegression,b_g_m_scalar_volume_LinearRegression
55.7 (+/- 10.0),48.8 (+/- 7.8),51.1 (+/- 8.2),51.5 (+/- 7.6),51.0 (+/- 8.4),24.8 (+/- 6.0),90.5 (+/- 1.6),14.5 (+/- 4.4),RandomForest,b_g_m_scalar_elong_flatn_RandomForest
54.5 (+/- 12.8),45.7 (+/- 10.5),53.9 (+/- 10.8),54.9 (+/- 10.1),53.7 (+/- 11.0),31.0 (+/- 8.3),90.0 (+/- 5.3),21.0 (+/- 13.0),SVM,b_g_m_scalar_elong_flatn_SVM
57.3 (+/- 9.7),49.4 (+/- 6.5),51.4 (+/- 7.5),49.3 (+/- 5.0),51.8 (+/- 8.2),27.9 (+/- 9.6),89.9 (+/- 0.8),18.3 (+/- 9.2),NN,b_g_m_scalar_elong_flatn_NN
58.9 (+/- 3.8),44.0 (+/- 5.8),56.0 (+/- 5.6),55.9 (+/- 6.1),56.0 (+/- 5.5),23.6 (+/- 3.6),91.4 (+/- 3.2),12.5 (+/- 6.3),LogisticRegression,b_g_m_scalar_elong_flatn_LogisticRegression
59.1 (+/- 4.8),44.9 (+/- 4.0),55.1 (+/- 4.5),55.1 (+/- 3.5),55.1 (+/- 4.7),28.4 (+/- 11.1),89.9 (+/- 0.8),19.0 (+/- 11.2),LinearRegression,b_g_m_scalar_elong_flatn_LinearRegression
74.0 (+/- 3.9),30.6 (+/- 6.3),70.2 (+/- 6.2),68.4 (+/- 6.5),70.4 (+/- 6.2),46.6 (+/- 9.3),88.9 (+/- 2.1),39.8 (+/- 11.5),RandomForest,b_g_m_scalar_box_center_xyz_RandomForest
76.8 (+/- 3.1),30.5 (+/- 3.3),69.7 (+/- 3.6),69.3 (+/- 3.0),69.7 (+/- 3.7),58.1 (+/- 7.1),89.9 (+/- 0.8),52.9 (+/- 9.0),SVM,b_g_m_scalar_box_center_xyz_SVM
79.3 (+/- 3.3),26.2 (+/- 3.9),73.5 (+/- 3.9),74.1 (+/- 4.0),73.5 (+/- 3.9),59.5 (+/- 5.6),89.9 (+/- 0.8),54.6 (+/- 6.6),NN,b_g_m_scalar_box_center_xyz_NN
78.5 (+/- 3.8),29.4 (+/- 4.8),70.6 (+/- 4.9),70.6 (+/- 4.7),70.5 (+/- 4.9),58.6 (+/- 6.0),89.9 (+/- 0.8),53.4 (+/- 7.6),LogisticRegression,b_g_m_scalar_box_center_xyz_LogisticRegression
27.3 (+/- 2.4),67.5 (+/- 4.4),32.7 (+/- 3.8),32.2 (+/- 5.3),32.8 (+/- 3.5),16.5 (+/- 2.5),89.9 (+/- 0.8),4.8 (+/- 2.5),LinearRegression,b_g_m_scalar_box_center_xyz_LinearRegression
61.7 (+/- 7.4),43.0 (+/- 8.3),56.8 (+/- 8.1),57.4 (+/- 8.9),56.6 (+/- 7.9),27.9 (+/- 8.7),86.9 (+/- 2.2),18.5 (+/- 9.9),RandomForest,b_g_m_TIC_phases_RandomForest
