,auroc_mean,eer_mean,accuracy_at_eer_mean,sensitivity_at_eer_mean,specificity_at_eer_mean,accuracy_at_sensitivity90_mean,sensitivity_at_sensitivity90_mean,specificity_at_sensitivity90_mean,auroc_std,eer_std,accuracy_at_eer_std,sensitivity_at_eer_std,specificity_at_eer_std,accuracy_at_sensitivity90_std,sensitivity_at_sensitivity90_std,specificity_at_sensitivity90_std,Method,Dataset
b_m_scalar_all_MS_autic_LinearRegression,0.8198930978775024,0.23688923120498656,0.7625394821166992,0.7638888955116272,0.7623326420783997,0.5491581797599793,0.8698989987373352,0.3913944482803345,0.0992341527350926,0.054667034155462424,0.05457557601526847,0.0555555462837232,0.054518075366561336,0.1820448035881327,0.07208795377073464,0.2556506461832609,LinearRegression,b_m_scalar_all_MS_autic_LinearRegression
b_m_scalar_all_RandomForest,0.8544544696807861,0.24346859455108644,0.7565943241119385,0.7564646482467652,0.7565981626510621,0.6033275127410889,0.9062626361846924,0.4558333933353424,0.04299436454871658,0.038941208770045616,0.03887603116246785,0.039924123947924536,0.038605851752206675,0.12894774426457659,0.010635371021711458,0.189031927745085,RandomForest,b_m_scalar_all_RandomForest
b_m_scalar_all_SVM,0.83779536485672,0.21602627635002136,0.7843473672866821,0.7826599240303039,0.7852875232696533,0.5745441198349,0.9062626361846924,0.40951221585273745,0.03416428602339836,0.061451576063510725,0.06149019450673164,0.06161743732900776,0.06164777889673829,0.054547996825536696,0.010635371021711458,0.09721588481160476,SVM,b_m_scalar_all_SVM
b_m_scalar_all_NN,0.8220916032791138,0.23954604864120482,0.7607367515563965,0.7595117807388305,0.7613961219787597,0.5223997533321381,0.9062626361846924,0.3355026751756668,0.06558036474870893,0.07383878436059564,0.0749329459979525,0.07065073228548117,0.07727586304238805,0.09591057561804497,0.010635371021711458,0.13599116902647387,NN,b_m_scalar_all_NN
b_m_scalar_all_LogisticRegression,0.8253886461257934,0.22934744358062745,0.7710280537605285,0.7696128010749816,0.7716923117637634,0.5600988209247589,0.9062626361846924,0.3958985909819603,0.08302350833242284,0.07357116074133159,0.07430022392199265,0.07142869888856253,0.07580691283410003,0.18276242668926931,0.010635371021711458,0.26196166675354027,LogisticRegression,b_m_scalar_all_LogisticRegression
b_m_scalar_all_LinearRegression,0.7770683884620666,0.2676840305328369,0.731680691242218,0.7341750741004944,0.7304568648338318,0.4831722378730774,0.8773064017295837,0.29138180166482924,0.10989559565914722,0.08381955230293013,0.08422273984877625,0.08256394887700251,0.08512871583429334,0.17739967822518388,0.07548167454148476,0.24481130909991422,LinearRegression,b_m_scalar_all_LinearRegression
b_m_scalar_age_RandomForest,0.56415354013443,0.4999070346355438,0.49754929840564727,0.512306398153305,0.4878795385360718,0.35174156427383424,0.757693600654602,0.15142505168914794,0.16499091244697317,0.18121026935815332,0.18318104302830607,0.1813707624606313,0.18581135772775564,0.07727197567817515,0.18824446832700314,0.0703567882137885,RandomForest,b_m_scalar_age_RandomForest
b_m_scalar_age_SVM,0.6301285266876221,0.4064075887203217,0.6072296619415283,0.5541919231414795,0.6329928874969483,0.33076977729797363,0.913249158859253,0.045924727246165274,0.06919270287804252,0.08968444144241365,0.07781432033269724,0.13353994049146353,0.07056999528162611,0.045728416833703704,0.036532113469343035,0.03488971103919128,SVM,b_m_scalar_age_SVM
b_m_scalar_age_NN,0.5915787279605865,0.4566245794296265,0.5432256400585175,0.5403535485267639,0.5463972866535187,0.3798279583454132,0.9244444489479064,0.11134039238095284,0.11597399359368098,0.09554876841804097,0.09492795804368567,0.1031417034173627,0.09537502820160382,0.052959614473668835,0.03922080596117851,0.05599634597255745,NN,b_m_scalar_age_NN
b_m_scalar_age_LogisticRegression,0.5799720406532287,0.4583802282810211,0.541216230392456,0.5408080816268921,0.5424314498901367,0.3754801332950592,0.9311111211776734,0.1016629733145237,0.041824225258182086,0.09337490646513485,0.0948276826342268,0.09081793193085967,0.09751836136160733,0.04901498555505983,0.03728435488087954,0.04008619965558424,LogisticRegression,b_m_scalar_age_LogisticRegression
b_m_scalar_age_LinearRegression,0.5799720406532287,0.4583802282810211,0.541216230392456,0.5408080816268921,0.5424314498901367,0.3754801332950592,0.9311111211776734,0.1016629733145237,0.041824225258182086,0.09337490646513485,0.0948276826342268,0.09081793193085967,0.09751836136160733,0.04901498555505983,0.03728435488087954,0.04008619965558424,LinearRegression,b_m_scalar_age_LinearRegression
