Test ID,auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90
bg_m_PatRisk_RandomForest/version_0,0.6970300078392029,0.3285828232765198,0.6584158539772034,0.6896551847457886,0.6531791687011719,0.603960394859314,0.7241379022598267,0.5838150382041931
bg_m_PatRisk_RandomForest/version_1,0.643775463104248,0.3757143020629883,0.610837459564209,0.6428571343421936,0.6057142615318298,0.5024630427360535,0.6785714030265808,0.47428572177886963
bg_m_PatRisk_RandomForest/version_2,0.7400556206703186,0.3342600464820862,0.6820513010025024,0.6428571343421936,0.688622772693634,0.6410256624221802,0.7142857313156128,0.628742516040802
bg_m_PatRisk_RandomForest/version_3,0.6752995252609253,0.32986176013946533,0.6650485396385193,0.6774193644523621,0.6628571152687073,0.6019417643547058,0.7096773982048035,0.5828571319580078
bg_m_PatRisk_RandomForest/version_4,0.6784607768058777,0.3636363744735718,0.6363636255264282,0.6363636255264282,0.6363636255264282,0.6212121248245239,0.6363636255264282,0.6193181872367859
bg_m_PatRisk_SVM/version_0,0.6043452024459839,0.417879194021225,0.5792078971862793,0.5862069129943848,0.5780346989631653,0.18316832184791565,0.9655172228813171,0.05202312022447586
bg_m_PatRisk_SVM/version_1,0.5671428442001343,0.4528571367263794,0.5812807679176331,0.5,0.5942857265472412,0.19704432785511017,0.9285714030265808,0.07999999821186066
bg_m_PatRisk_SVM/version_2,0.5851154923439026,0.42408040165901184,0.528205156326294,0.6428571343421936,0.5089820623397827,0.1846153885126114,0.8928571343421936,0.06586826592683792
bg_m_PatRisk_SVM/version_3,0.7277419567108154,0.260092169046402,0.8737863898277283,0.5483871102333069,0.9314285516738892,0.21359223127365112,0.9032257795333862,0.09142857044935226
bg_m_PatRisk_SVM/version_4,0.6576704382896423,0.42329543828964233,0.3181818127632141,0.9090909361839294,0.2443181872367859,0.21717171370983124,0.9090909361839294,0.1306818127632141
bg_m_PatRisk_NN/version_0,0.7237393260002136,0.38040661811828613,0.6188119053840637,0.6206896305084229,0.6184971332550049,0.4900990128517151,0.8965517282485962,0.4219653308391571
bg_m_PatRisk_NN/version_1,0.718163251876831,0.3207142949104309,0.6798029541969299,0.6785714030265808,0.6800000071525574,0.2807881832122803,0.8928571343421936,0.18285714089870453
bg_m_PatRisk_NN/version_2,0.8261335492134094,0.24476048350334167,0.7589743733406067,0.75,0.7604790329933167,0.5538461804389954,0.8928571343421936,0.49700599908828735
bg_m_PatRisk_NN/version_3,0.8484792709350586,0.224331796169281,0.7766990065574646,0.774193525314331,0.7771428823471069,0.3446601927280426,0.9032257795333862,0.24571429193019867
bg_m_PatRisk_NN/version_4,0.7521952390670776,0.35795456171035767,0.6464646458625793,0.6363636255264282,0.6477272510528564,0.47979798913002014,0.9090909361839294,0.4261363744735718
bg_m_PatRisk_LogisticRegression/version_0,0.7167630195617676,0.38040661811828613,0.6188119053840637,0.6206896305084229,0.6184971332550049,0.5049505233764648,0.8965517282485962,0.4393063485622406
bg_m_PatRisk_LogisticRegression/version_1,0.7097958922386169,0.3207142949104309,0.6798029541969299,0.6785714030265808,0.6800000071525574,0.21674877405166626,0.8928571343421936,0.10857142508029938
bg_m_PatRisk_LogisticRegression/version_2,0.8295551538467407,0.2149272859096527,0.7846153974533081,0.7857142686843872,0.7844311594963074,0.528205156326294,0.8928571343421936,0.46706587076187134
bg_m_PatRisk_LogisticRegression/version_3,0.8444239497184753,0.224331796169281,0.7766990065574646,0.774193525314331,0.7771428823471069,0.27184465527534485,0.9032257795333862,0.1599999964237213
bg_m_PatRisk_LogisticRegression/version_4,0.7829287052154541,0.33522728085517883,0.6515151262283325,0.6818181872367859,0.6477272510528564,0.5858585834503174,0.9090909361839294,0.5454545617103577
