Test ID,auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90
b_m_PatRisk_RandomForest/version_0,0.7809027433395386,0.19583332538604736,0.8095238208770752,0.7916666865348816,0.8166666626930237,0.511904776096344,0.875,0.36666667461395264
b_m_PatRisk_RandomForest/version_1,0.8125,0.28308823704719543,0.7200000286102295,0.7083333134651184,0.7254902124404907,0.6266666650772095,0.9166666865348816,0.4901960790157318
b_m_PatRisk_RandomForest/version_2,0.8460055589675903,0.3121212124824524,0.6931818127632141,0.6666666865348816,0.7090908885002136,0.7272727489471436,0.939393937587738,0.6000000238418579
b_m_PatRisk_RandomForest/version_3,0.7852563858032227,0.2923789322376251,0.7088607549667358,0.7037037014961243,0.7115384340286255,0.6202531456947327,0.8888888955116272,0.48076921701431274
b_m_PatRisk_RandomForest/version_4,0.7357527017593384,0.3774193525314331,0.6304348111152649,0.6000000238418579,0.6451612710952759,0.6086956262588501,0.8333333134651184,0.5
b_m_PatRisk_SVM/version_0,0.8062500357627869,0.2291666567325592,0.761904776096344,0.7916666865348816,0.75,0.6904761791229248,0.9166666865348816,0.6000000238418579
b_m_PatRisk_SVM/version_1,0.8721405267715454,0.2022058665752411,0.800000011920929,0.7916666865348816,0.8039215803146362,0.7333333492279053,0.875,0.6666666865348816
b_m_PatRisk_SVM/version_2,0.8752065896987915,0.14848482608795166,0.8522727489471436,0.8484848737716675,0.8545454740524292,0.75,0.9090909361839294,0.6545454263687134
b_m_PatRisk_SVM/version_3,0.8967236280441284,0.150997132062912,0.8481012582778931,0.8518518805503845,0.8461538553237915,0.8227847814559937,0.8888888955116272,0.7884615659713745
b_m_PatRisk_SVM/version_4,0.8666666150093079,0.26236557960510254,0.739130437374115,0.7333333492279053,0.7419354915618896,0.6847826242446899,0.8666666746139526,0.5967742204666138
b_m_PatRisk_NN/version_0,0.8111110925674438,0.2291666567325592,0.761904776096344,0.7916666865348816,0.75,0.6428571343421936,0.9166666865348816,0.5333333611488342
b_m_PatRisk_NN/version_1,0.8623366355895996,0.21200978755950928,0.7866666913032532,0.7916666865348816,0.7843137383460999,0.5600000023841858,0.9166666865348816,0.3921568691730499
b_m_PatRisk_NN/version_2,0.8884297609329224,0.15454542636871338,0.8295454382896423,0.9090909361839294,0.7818182110786438,0.8181818127632141,0.9090909361839294,0.7636363506317139
b_m_PatRisk_NN/version_3,0.865384578704834,0.150997132062912,0.8481012582778931,0.8518518805503845,0.8461538553237915,0.49367088079452515,0.8888888955116272,0.2884615361690521
b_m_PatRisk_NN/version_4,0.8693548440933228,0.26236557960510254,0.739130437374115,0.7333333492279053,0.7419354915618896,0.695652186870575,0.8999999761581421,0.5967742204666138
b_m_PatRisk_LogisticRegression/version_0,0.8090277910232544,0.2291666567325592,0.761904776096344,0.7916666865348816,0.75,0.6190476417541504,0.9166666865348816,0.5
b_m_PatRisk_LogisticRegression/version_1,0.8672385811805725,0.21200978755950928,0.7866666913032532,0.7916666865348816,0.7843137383460999,0.5600000023841858,0.9166666865348816,0.3921568691730499
b_m_PatRisk_LogisticRegression/version_2,0.9479338526725769,0.14848482608795166,0.8522727489471436,0.8484848737716675,0.8545454740524292,0.8181818127632141,0.9090909361839294,0.7636363506317139
b_m_PatRisk_LogisticRegression/version_3,0.865384578704834,0.150997132062912,0.8481012582778931,0.8518518805503845,0.8461538553237915,0.49367088079452515,0.8888888955116272,0.2884615361690521
b_m_PatRisk_LogisticRegression/version_4,0.875806450843811,0.2456989288330078,0.75,0.7666666507720947,0.7419354915618896,0.695652186870575,0.8999999761581421,0.5967742204666138
b_m_PatRisk_LinearRegression/version_0,0.8097221851348877,0.2291666567325592,0.761904776096344,0.7916666865348816,0.75,0.6309523582458496,0.9166666865348816,0.5166666507720947
b_m_PatRisk_LinearRegression/version_1,0.8721405267715454,0.21200978755950928,0.7866666913032532,0.7916666865348816,0.7843137383460999,0.6266666650772095,0.9166666865348816,0.4901960790157318
